Mary,131136
Anna,55261
Margaret,37938
Helen,37802
Elizabeth,33879
Ruth,32867
Florence,32344
Ethel,31453
Emma,28652
Marie,25853
Clara,25473
Bertha,25125
Minnie,24615
Bessie,24417
Alice,24415
Lillian,24106
Edna,24068
Grace,23804
Annie,23122
Mabel,21991
Ida,21212
Rose,21134
Hazel,20154
Gertrude,19899
Martha,19415
Pearl,19054
Frances,18091
Myrtle,17717
Edith,17649
Nellie,17285
Sarah,17154
Ella,17072
Eva,16460
Laura,16433
Elsie,16375
Louise,15174
Esther,14737
Catherine,14502
Agnes,14429
Carrie,14276
Lillie,14093
Mildred,13792
Gladys,13622
Irene,13621
Julia,13448
Hattie,12909
Cora,12880
Lena,12491
Josephine,12463
Mattie,12449
Jennie,11876
Jessie,11870
Maude,11304
Alma,11184
Mae,10918
Blanche,10860
Dorothy,10846
Ada,10379
Lucy,10323
Lula,10238
Mamie,10085
Fannie,9898
Stella,9807
Katherine,9408
Viola,9386
Ruby,8699
Dora,8683
Maggie,8607
Nora,8293
Rosa,7881
Beatrice,7500
Ellen,7435
Sadie,7398
Marion,7310
Willie,7109
Effie,6961
May,6880
Beulah,6785
Pauline,6635
Nettie,6538
Susie,6529
Della,6410
Marguerite,6376
Vera,6376
Daisy,6249
Lydia,5942
Virginia,5864
Olive,5713
Kathryn,5653
Evelyn,5648
Sallie,5580
Lizzie,5556
Lottie,5499
Emily,5476
Georgia,5444
Flora,5442
Nancy,5346
Katie,5178
Lucille,5105
Leona,5083
Charlotte,4771
Eleanor,4754
Hilda,4732
Theresa,4730
Ann,4688
Etta,4670
Addie,4635
Caroline,4500
Ollie,4272
Anne,4231
Lola,4217
Harriet,4171
Iva,4103
Bernice,4094
Henrietta,4035
Lela,3892
Jane,3882
Ora,3876
Amanda,3872
Amelia,3725
Inez,3682
Rebecca,3660
Susan,3612
Mollie,3609
Nannie,3599
Goldie,3491
Estelle,3485
Loretta,3382
Nina,3381
Maud,3285
Rachel,3279
Eula,3270
Matilda,3249
Eunice,3244
Lois,3228
Betty,3196
Mable,3184
Estella,3174
Marjorie,3171
Sara,3119
Violet,3076
Essie,3059
Amy,3042
Verna,3036
Sylvia,3025
Hannah,3021
Kate,3001
Olga,2997
Rosie,2918
Genevieve,2904
Flossie,2890
Maria,2866
Alta,2796
Barbara,2783
Frieda,2780
Eliza,2723
Lulu,2659
Ola,2652
Augusta,2642
Christine,2565
Sophia,2522
Belle,2512
Victoria,2479
Sophie,2424
Lucile,2412
Irma,2407
Ina,2397
Jean,2396
Thelma,2385
Celia,2373
Doris,2342
Allie,2339
Josie,2329
Alberta,2327
Winifred,2293
Freda,2289
Janie,2272
Madeline,2242
Marian,2168
Luella,2151
Nell,2138
Callie,2131
Winnie,2126
Velma,2099
Mayme,2098
Naomi,2074
Selma,2067
Isabel,2047
Tillie,2009
Vivian,1999
Millie,1959
Rena,1945
Kathleen,1942
Fern,1937
Elva,1900
Erma,1895
Isabelle,1890
Norma,1885
Delia,1871
Virgie,1811
