Mary,625558
Linda,564312
Patricia,459623
Susan,437723
Deborah,430515
Barbara,345706
Debra,341306
Karen,332485
Nancy,286779
Donna,270325
Cynthia,263397
Sandra,251563
Pamela,237375
Sharon,232789
Kathleen,224316
Carol,222631
Diane,210610
Brenda,209232
Cheryl,171366
Janet,167505
Elizabeth,165646
Kathy,157920
Margaret,149571
Janice,133597
Carolyn,124063
Denise,123766
Judy,118042
Rebecca,115688
Joyce,114958
Teresa,114273
Christine,113333
Catherine,108822
Shirley,108793
Judith,108751
Betty,103194
Beverly,97778
Lisa,95816
Laura,95512
Theresa,89594
Connie,88804
Ann,87032
Gloria,86698
Julie,86691
Gail,85613
Joan,85166
Paula,84862
Peggy,84283
Cindy,83972
Martha,83177
Bonnie,83005
Jane,82911
Cathy,82710
Robin,82416
Debbie,82091
Diana,80223
Marilyn,80153
Kathryn,77797
Dorothy,74476
Wanda,72443
Jean,72262
Vicki,71976
Sheila,70165
Virginia,69781
Sherry,68326
Katherine,66847
Rose,66712
Lynn,66046
Jo,63959
Ruth,62523
Maria,62421
Darlene,61872
Jacqueline,60461
Rita,60255
Rhonda,59805
Phyllis,57770
Helen,57566
Vickie,56855
Kim,56075
Lori,56063
Ellen,55379
Elaine,54230
Joanne,53547
Anne,52386
Valerie,52230
Alice,52063
Frances,51194
Suzanne,50322
Marie,49259
Victoria,49119
Kimberly,48951
Anita,47587
Laurie,46953
Michelle,46782
Sally,46701
Terri,46432
Marcia,43729
Terry,43189
Jennifer,43073
Leslie,43042
Doris,42897
Maureen,42811
Wendy,42669
Michele,41958
Anna,41692
Marsha,41554
Angela,40347
Sarah,39963
Sylvia,39532
Jill,39054
Dawn,38899
Sue,38851
Evelyn,38401
Roberta,37913
Jeanne,37663
Charlotte,36994
Eileen,36560
Lois,36196
Colleen,35912
Stephanie,35557
Annette,35342
Glenda,35222
Yvonne,35035
Dianne,34485
Tina,33989
Beth,33985
Lorraine,33583
Constance,33527
Renee,32948
Charlene,32716
Joann,32660
Julia,32454
Gwendolyn,31945
Norma,30799
Regina,30789
Amy,30587
Loretta,30386
Sheryl,30382
Carla,29428
Andrea,29372
Tammy,29178
Irene,26970
Jan,26162
Louise,25847
Juanita,25650
Marlene,25248
Penny,25121
Rosemary,24999
Becky,24836
Kay,24644
Joy,24516
Geraldine,24220
Jeanette,23985
Gayle,23726
Annie,23676
Vivian,23548
Claudia,23148
Lynda,22690
Melissa,22289
Audrey,22218
Lynne,22193
Patsy,21732
Melinda,21505
Vicky,21330
Toni,21306
June,21101
Belinda,20939
Marjorie,20934
Arlene,20653
Patti,20603
Ruby,20550
Sara,20491
Yolanda,19945
Rosa,19875
Melanie,19848
Christina,19841
Delores,19360
Jackie,19302
Vanessa,19163
Carmen,18947
Monica,18712
Janis,18672
Holly,18635
Marianne,18476
Dolores,18307
Shelley,18224
Veronica,17620
Mildred,17569
Eva,17107
Dana,17105
Rachel,16774
Shelia,16755
Roxanne,16605
Carole,16532
Lillian,16505
Josephine,16406
Carrie,16181
Patty,16108
Sherri,16104
Doreen,16086
Grace,15916
