Mary,161505
Helen,69429
Margaret,57921
Anna,54918
Ruth,51011
Elizabeth,41708
Dorothy,39112
Marie,37091
Florence,36191
Mildred,36173
Alice,35233
Ethel,34868
Lillian,32519
Gladys,30285
Edna,29832
Frances,28499
Rose,28107
Annie,27748
Grace,26926
Bertha,24247
Emma,24176
Bessie,23984
Clara,23899
Hazel,23802
Irene,23656
Gertrude,23607
Louise,22862
Catherine,22007
Martha,21750
Mabel,21625
Pearl,20913
Edith,20884
Esther,20026
Minnie,19715
Myrtle,19691
Ida,18866
Josephine,18786
Evelyn,18602
Elsie,18452
Eva,18357
Thelma,18265
Ruby,18176
Agnes,17617
Sarah,17343
Viola,16559
Nellie,16339
Beatrice,16282
Julia,16107
Laura,15533
Lillie,15390
Lucille,15041
Ella,14764
Virginia,14539
Mattie,13838
Pauline,13310
Carrie,13140
Alma,13092
Jessie,12756
Mae,12711
Lena,12703
Willie,12357
Katherine,12105
Blanche,11730
Hattie,11717
Marion,11713
Lucy,11020
Stella,11014
Mamie,10618
Vera,10457
Cora,10372
Fannie,10346
Eleanor,10030
Bernice,10010
Jennie,9988
Ann,9933
Leona,9849
Beulah,9716
Lula,9518
Rosa,9297
Ada,9121
Ellen,8339
Kathryn,8333
Maggie,8289
Doris,8252
Dora,8011
Betty,7920
Marguerite,7912
Violet,7844
Lois,7691
Daisy,7687
Anne,7615
Sadie,7461
Susie,7311
Nora,7172
Georgia,7142
Maude,7142
Marjorie,7025
Opal,6791
Hilda,6783
Velma,6558
Emily,6423
Theresa,6396
Charlotte,6193
Inez,6115
Olive,6027
Flora,6015
Della,5958
Lola,5949
Jean,5931
Effie,5870
Nancy,5733
Nettie,5680
Sylvia,5559
May,5546
Lottie,5482
Alberta,5475
Eunice,5376
Sallie,5306
Katie,5304
Genevieve,5292
Estelle,5259
Lydia,5242
Loretta,5151
Mable,5149
Goldie,4966
Eula,4872
Rosie,4828
Lizzie,4824
Vivian,4818
Verna,4752
Ollie,4725
Harriet,4600
Lucile,4566
Addie,4563
Marian,4532
Henrietta,4514
Jane,4499
Lela,4473
Essie,4467
Caroline,4276
Ora,4262
Iva,4212
Sara,4210
Maria,4175
Madeline,4079
Rebecca,4052
Wilma,4012
Etta,4003
Barbara,4001
Rachel,3974
Kathleen,3923
Irma,3909
Christine,3901
Geneva,3861
Sophie,3839
Juanita,3837
Nina,3743
Naomi,3700
Victoria,3692
Amelia,3664
Erma,3623
Mollie,3475
Susan,3448
Flossie,3410
Ola,3410
Nannie,3391
Norma,3335
Sally,3294
Olga,3172
Alta,3091
Estella,3068
Celia,2971
Freda,2932
Isabel,2926
Amanda,2923
Frieda,2897
Luella,2895
Matilda,2892
Janie,2853
Fern,2813
Cecelia,2793
Audrey,2707
Winifred,2689
Elva,2677
Ina,2667
Adeline,2646
Leola,2615
Hannah,2605
Geraldine,2589
Amy,2576
Allie,2574
Miriam,2566
Isabelle,2514
Bonnie,2496
Virgie,2466
Sophia,2460
Cleo,2441
Jeanette,2438
Nell,2436
Eliza,2397
