Lisa,496972
Mary,355226
Susan,287653
Karen,286044
Kimberly,259085
Patricia,231146
Linda,225419
Donna,213453
Michelle,208290
Cynthia,196611
Sandra,183833
Deborah,183434
Tammy,182213
Pamela,181936
Lori,176557
Laura,174176
Elizabeth,168895
Julie,166143
Brenda,164486
Jennifer,164411
Barbara,159749
Angela,159259
Sharon,154890
Debra,153771
Teresa,151777
Nancy,142710
Christine,139328
Cheryl,135646
Denise,128824
Kelly,128070
Tina,126388
Kathleen,120956
Melissa,119211
Robin,118322
Amy,116793
Diane,114446
Dawn,114295
Carol,112335
Tracy,103779
Kathy,101123
Rebecca,99461
Theresa,97118
Kim,94381
Rhonda,93606
Stephanie,92821
Cindy,91586
Janet,89319
Wendy,88965
Maria,88729
Michele,86991
Jacqueline,84377
Debbie,84203
Margaret,81863
Paula,80506
Sherry,77520
Catherine,76790
Carolyn,75262
Laurie,74447
Sheila,74069
Ann,72080
Jill,69144
Connie,65281
Diana,65033
Terri,63736
Suzanne,59760
Andrea,58404
Beth,58386
Janice,57965
Valerie,56586
Renee,55815
Leslie,54457
Christina,52783
Gina,52368
Lynn,51934
Annette,51912
Cathy,51624
Katherine,50632
Judy,50334
Carla,47896
Wanda,47769
Anne,47764
Dana,47705
Joyce,46125
Regina,45826
Beverly,45241
Monica,45179
Bonnie,45088
Kathryn,44863
Anita,44398
Sarah,43908
Darlene,43532
Jane,43335
Sherri,41628
Martha,41029
Anna,40890
Colleen,40672
Vicki,40508
Tracey,40291
Judith,39778
Tamara,39005
Gloria,38586
Betty,38390
Stacey,38263
Penny,38223
Shirley,38073
Victoria,37734
Jean,37279
Peggy,37034
Melanie,36750
Joan,36678
Melinda,36299
Shelly,35660
Stacy,35528
Virginia,35342
Marie,34811
Maureen,34446
Ruth,34181
Julia,34177
Ellen,34139
Tonya,34072
Shannon,33853
Heidi,33740
Joanne,33358
Dorothy,33008
Gail,32869
Rita,32867
Heather,32704
Deanna,32269
Holly,32144
Rose,31858
Vickie,31762
Carrie,31170
Veronica,30029
Yvonne,29953
Becky,29598
Helen,29094
Sylvia,28603
Yolanda,28440
April,28302
Terry,27636
Elaine,27464
Sheri,27326
Marilyn,26995
Alice,26953
Jodi,26876
Rachel,26801
Sheryl,26058
Jackie,25892
Jamie,25698
Phyllis,25697
Frances,24994
Crystal,24972
Joann,24873
Eileen,24869
Shelley,24856
Toni,24839
Charlene,24621
Kristin,24354
Sally,24347
Charlotte,24234
Kristine,24124
Jeanne,23545
Sara,23046
Tanya,23028
Belinda,22948
Carmen,22874
Sandy,22711
Evelyn,22580
Alicia,22424
Sonya,22293
Lorraine,22246
Yvette,22090
Jeanette,22087
Loretta,22071
Joy,21756
Sue,21605
Norma,21513
Roberta,21097
Vanessa,20987
Shari,20518
Jo,20196
Natalie,19567
Tammie,19345
Traci,18704
Gwendolyn,18635
Nicole,18565
Felicia,18555
Melody,18470
Tami,18445
Shelia,18442
Marcia,18425
Doris,18186
Kristen,18042
Audrey,17869
Karla,17716
Jody,17669
Glenda,17590
Patty,17520
Amanda,17179
Pam,17109
