Emma,158573
Sophia,152936
Olivia,147486
Isabella,142064
Ava,125937
Mia,103580
Emily,100414
Abigail,99356
Madison,84803
Elizabeth,77233
Charlotte,76031
Chloe,71994
Ella,69455
Amelia,68291
Avery,67348
Sofia,67210
Evelyn,65950
Harper,63891
Addison,61128
Grace,59916
Natalie,58058
Victoria,57341
Lily,56929
Aubrey,55966
Lillian,54092
Zoey,53116
Hannah,52980
Brooklyn,51180
Layla,50012
Samantha,49532
Zoe,47767
Leah,46077
Riley,44314
Scarlett,43871
Anna,43076
Savannah,42744
Camila,42493
Audrey,42372
Allison,41781
Gabriella,40789
Hailey,40689
Sarah,39359
Claire,39140
Aaliyah,39043
Kaylee,38986
Nevaeh,38227
Aria,37602
Alexis,37274
Alexa,36879
Arianna,36174
Penelope,34283
Alyssa,34259
Bella,34040
Stella,33983
Ariana,33806
Peyton,33759
Taylor,33596
Lucy,33080
Ashley,32875
Brianna,32648
Ellie,32503
Genesis,32307
Nora,32242
Maya,31932
Madelyn,31898
Serenity,31662
Caroline,31480
Kylie,31342
Violet,31217
Kennedy,30876
Skylar,30868
Autumn,30769
Sadie,30050
Julia,30046
Mackenzie,29791
Khloe,29551
Sophie,29471
Katherine,28942
Paisley,28839
Mila,28539
Eva,28383
Naomi,28249
Eleanor,28127
Gianna,27737
Melanie,27596
Aubree,27434
Faith,27047
Kayla,26706
Piper,26596
Madeline,26546
Lydia,26379
Alexandra,26376
Ruby,26028
Lauren,25639
Annabelle,25187
Makayla,25147
Jasmine,25010
Sydney,24757
Bailey,24220
Morgan,24174
Kimberly,23971
Maria,23563
Hazel,23421
Alice,23353
Isabelle,23272
Reagan,23252
Jocelyn,23222
London,23187
Andrea,22991
Trinity,22854
Rylee,22799
Aurora,22215
Natalia,21970
Molly,21964
Vivian,21286
Jade,21076
Elena,21020
Liliana,20981
Mary,20931
Eliana,20871
Brooke,20799
Clara,20748
Quinn,20584
Cora,20572
Brielle,20294
Payton,20233
Lilly,20062
Hadley,19992
Valentina,19947
Mariah,19763
Paige,19736
Nicole,19463
Luna,19357
Mya,19319
Jordyn,19215
Kinsley,18851
Delilah,18761
Destiny,18760
Willow,18417
Isabel,18400
Lyla,18122
Angelina,18004
Rachel,17863
Kendall,17785
Josephine,17719
Valeria,17401
Sara,17203
Vanessa,16957
Kaitlyn,16816
Mckenzie,16775
Adeline,16763
Amy,16726
Aliyah,16639
Reese,16557
Gabrielle,16543
Laila,16537
Juliana,16462
Ivy,16447
Ximena,16242
Jessica,16126
Brooklynn,16076
Gracie,15994
Eden,15789
Ariel,15778
Adriana,15500
Emilia,15492
Margaret,15455
Isla,15382
Valerie,15289
Katelyn,15282
Adalynn,15208
Melody,15182
Elise,15081
Adalyn,15059
Michelle,14930
Emery,14912
Rebecca,14699
Daisy,14380
Catherine,14300
Alaina,14165
Makenzie,13964
Stephanie,13884
Ryleigh,13882
Jayla,13861
Lila,13751
Norah,13740
Izabella,13709
Londyn,13705
Summer,13642
Julianna,13547
Jennifer,13513
Daniela,13370
Alana,13343
Kylee,13281
Hayden,13179
Giselle,13086
Eliza,12956
Angela,12939
Athena,12922
Leilani,12890
