Mary,701746
Dorothy,368870
Helen,290398
Betty,283092
Margaret,245007
Ruth,218513
Virginia,169550
Doris,151185
Mildred,147152
Frances,140385
Elizabeth,139674
Evelyn,124163
Anna,123892
Marie,110566
Alice,110524
Jean,105998
Shirley,98602
Barbara,97213
Irene,92833
Marjorie,91222
Florence,88294
Lois,88131
Martha,86785
Rose,85308
Lillian,83153
Louise,82896
Catherine,78883
Ruby,76734
Eleanor,74758
Patricia,74737
Gladys,72561
Annie,69463
Josephine,69218
Thelma,68770
Edna,68628
Norma,65238
Pauline,64072
Lucille,63879
Edith,62990
Gloria,62853
Ethel,62801
Phyllis,61867
Grace,60064
Hazel,58984
June,56480
Bernice,55841
Marion,55179
Dolores,51986
Rita,50586
Lorraine,49940
Ann,49811
Esther,49229
Beatrice,49224
Juanita,48548
Clara,48182
Jane,48049
Geraldine,48044
Sarah,46769
Emma,46537
Joan,45352
Joyce,44175
Nancy,43807
Katherine,42743
Gertrude,42457
Elsie,42098
Julia,40330
Agnes,39223
Wilma,39126
Marian,38975
Bertha,38572
Eva,38046
Willie,37813
Audrey,37551
Theresa,36667
Vivian,36571
Wanda,36004
Laura,35992
Charlotte,35752
Ida,35617
Elaine,34908
Anne,34512
Marilyn,34200
Kathryn,33791
Maxine,33744
Kathleen,33596
Viola,33253
Pearl,32774
Vera,32542
Bessie,32158
Myrtle,30567
Alma,30434
Beverly,30204
Violet,30021
Nellie,29689
Ella,29517
Lillie,29382
Jessie,29287
Jeanne,29119
Eileen,28587
Ellen,28391
Lucy,27434
Minnie,26907
Sylvia,26842
Donna,26159
Leona,26031
Rosemary,25966
Stella,25902
Mattie,25522
Margie,25496
Genevieve,24779
Mabel,24521
Janet,23976
Geneva,23272
Georgia,23228
Bonnie,23170
Carol,22979
Velma,22875
Lena,22844
Carolyn,22774
Mae,22756
Jennie,22589
Maria,22584
Christine,22335
Arlene,21960
Peggy,21872
Marguerite,21783
Opal,21542
Sara,21100
Loretta,21071
Harriet,20872
Rosa,20790
Muriel,20480
Eunice,20172
Jeanette,19783
Blanche,19620
Carrie,19126
Emily,18753
Beulah,18627
Billie,18472
Dora,18332
Roberta,18220
Hilda,18191
Naomi,18183
Anita,18054
Jacqueline,17881
Alberta,17862
Inez,17594
Delores,16462
Fannie,16456
Hattie,16369
Lula,16314
Verna,16264
Cora,16160
Constance,15569
Madeline,15557
Miriam,15505
Ada,15131
Claire,14991
Mamie,14807
Lola,14654
Rosie,14290
Erma,14261
Rachel,14201
Mable,14007
Flora,13961
Daisy,13659
Sally,13474
Marcella,13398
Bette,13274
Olga,12787
Caroline,12694
Laverne,12643
Sophie,12551
Nora,12302
Rebecca,12284
Estelle,12280
Irma,12235
Susie,12178
Eula,12160
Winifred,12083
Eloise,11923
Janice,11810
Maggie,11696
Antoinette,11578
Nina,11327
Rosalie,11297
Imogene,11296
Lorene,11244
Olive,10889
Sadie,10846
Regina,10676
Victoria,10547
Henrietta,10453
Della,10365
Bettie,10334
Lila,10304
Fern,10254
Faye,10233
Johnnie,10065
Jeannette,9992
