Mary,640023
Linda,531631
Barbara,425242
Patricia,411393
Carol,292321
Sandra,265523
Nancy,252037
Sharon,221223
Judith,218017
Susan,212012
Betty,194612
Carolyn,181844
Margaret,173013
Shirley,171773
Judy,167711
Karen,167689
Donna,165519
Kathleen,152978
Joyce,151484
Dorothy,132245
Janet,130744
Diane,122869
Janice,118880
Joan,117696
Elizabeth,116535
Brenda,112403
Gloria,105041
Virginia,98992
Marilyn,98968
Martha,95378
Beverly,95122
Helen,90737
Bonnie,86876
Ruth,85657
Frances,85431
Jean,80364
Ann,76792
Phyllis,76134
Pamela,73116
Jane,72531
Alice,72387
Peggy,72114
Cheryl,70957
Doris,64132
Catherine,62078
Elaine,60105
Cynthia,58057
Marie,57516
Lois,56852
Connie,56595
Christine,54567
Diana,53689
Gail,53139
Joanne,51652
Rose,51636
Wanda,50772
Carole,50304
Rita,49852
Charlotte,49475
Jo,48446
Evelyn,48159
Geraldine,47936
Jacqueline,45558
Ellen,45401
Sally,45342
Rebecca,45308
Kathryn,44581
Deborah,44059
Norma,43025
Suzanne,41402
Anna,41280
Sue,40943
Darlene,40320
Patsy,40277
Joann,40012
Sarah,39973
Katherine,39911
Paula,39040
Annie,38715
Louise,38653
Roberta,38048
Sylvia,37282
Anne,36144
Theresa,35792
Sheila,35739
Maria,35563
Laura,35074
Kathy,34766
Eileen,34691
Marcia,34395
Rosemary,34295
Glenda,33347
Dolores,33099
Mildred,33064
Lorraine,33047
Marjorie,32900
Sherry,32757
Kay,32650
Anita,32528
Dianne,32292
Ruby,31871
Irene,31818
Juanita,30442
Maureen,30259
Loretta,30118
Jeanne,30114
Constance,29907
Lynn,29384
Marlene,29294
Arlene,29094
Delores,28501
Lynda,27949
Julia,27891
Marsha,27410
Charlene,26779
June,25165
Jeanette,24723
Edna,24698
Josephine,24320
Eleanor,23758
Yvonne,23672
Vicki,23492
Vivian,22914
Emma,22787
Georgia,22390
Lillian,22308
Edith,22146
Pauline,21910
Wilma,21192
Victoria,20753
Ethel,20580
Lucille,20455
Florence,20392
Sara,20272
Margie,20260
Thelma,20230
Clara,20028
Audrey,19718
Grace,19371
Teresa,19329
Annette,19176
Claudia,19170
Gladys,19059
Julie,19034
Marion,18490
Gwendolyn,18342
Priscilla,18122
Willie,18098
Esther,17638
Eva,17563
Andrea,17060
Maryann,17053
Bernice,17029
Rosa,16793
Hazel,16657
Billie,16369
Bertha,16225
Gayle,16198
Bobbie,16197
Pat,16151
Maxine,16071
Marian,16041
Ella,15973
Paulette,15900
Joy,15565
Beatrice,15561
Cathy,15551
Lillie,15353
Janis,14861
Leslie,14856
Ida,14291
Lynne,14236
Deanna,13739
Faye,13707
Terry,13698
Valerie,13691
Rachel,13410
Emily,13408
Lucy,13128
Janie,13118
Penny,13114
Jackie,13090
Harriet,12922
Regina,12714
Rosalie,12587
Alma,12400
Angela,12260
Vera,12188
Jessie,12148
Marianne,11944
Stephanie,11936
Jill,11866
Mattie,11778
Minnie,11735
Caroline,11625
Michele,11604
Veronica,11528
Patty,11416
Rosie,11404
Stella,11360
